# POPULATION CHANGE DATA PROVIDED BY U.S. CENSUS.,,,,,,,,,,,,,,,,,,,,,,
# CHANGE EXPRESSED AS PERCENTAGE (0-100).,,,,,,,,,,,,,,,,,,,,,,
STATE_OR_REGION,1910_POPULATION,1920_POPULATION,1930_POPULATION,1940_POPULATION,1950_POPULATION,1960_POPULATION,1970_POPULATION,1980_POPULATION,1990_POPULATION,2000_POPULATION,2010_POPULATION,1910_CHANGE,1920_CHANGE,1930_CHANGE,1940_CHANGE,1950_CHANGE,1960_CHANGE,1970_CHANGE,1980_CHANGE,1990_CHANGE,2000_CHANGE,2010_CHANGE
United States,92228531,106021568,123202660,132165129,151325798,179323175,203211926,226545805,248709873,281421906,308745538,21,15,16.2,7.3,14.5,18.5,13.3,11.5,9.8,13.2,9.7
Northeast,25868573,29662053,34427091,35976777,39477986,44677819,49040703,49135283,50809229,53594378,55317240,22.9,14.7,16.1,4.5,9.7,13.2,9.8,0.2,3.4,5.5,3.2
Midwest,29888542,34019792,38594100,40143332,44460762,51619139,56571663,58865670,59668632,64392776,66927001,13.5,13.8,13.4,4,10.8,16.1,9.6,4.1,1.4,7.9,3.9
South,29389330,33125803,37857633,41665901,47197088,54973113,62795367,75372362,85445930,100236820,114555744,19.8,12.7,14.3,10.1,13.3,16.5,14.2,20,13.4,17.3,14.3
West,7082086,9213920,12323836,14379119,20189962,28053104,34804193,43172490,52786082,63197932,71945553,64.4,30.1,33.8,16.7,40.4,38.9,24.1,24,22.3,19.7,13.8
Alabama,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,16.9,9.8,12.7,7.1,8.1,6.7,5.4,13.1,3.8,10.1,7.5
Alaska,64356,55036,59278,72524,128643,226167,300382,401851,550043,626932,710231,1.2,-14.5,7.7,22.3,77.4,75.8,32.8,33.8,36.9,14,13.3
Arizona,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017,66.2,63.5,30.3,14.6,50.1,73.7,36,53.5,34.8,40,24.6
Arkansas,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,20,11.3,5.8,5.1,-2,-6.5,7.7,18.9,2.8,13.7,9.1
California,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,37253956,60.1,44.1,65.7,21.7,53.3,48.5,27,18.6,25.7,13.8,10
Colorado,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,48,17.6,10.2,8.4,18,32.4,25.8,30.9,14,30.6,16.9
Connecticut,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,22.7,23.9,16.4,6.4,17.4,26.3,19.6,2.5,5.8,3.6,4.9
Delaware,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934,9.5,10.2,6.9,11.8,19.4,40.3,22.8,8.4,12.1,17.6,14.6
District of Columbia,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,601723,18.8,32.2,11.3,36.2,21,-4.8,-1,-15.6,-4.9,-5.7,5.2
Florida,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310,42.4,28.7,51.6,29.2,46.1,78.7,37.1,43.6,32.7,23.5,17.6
Georgia,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,17.7,11,0.4,7.4,10.3,14.5,16.4,19,18.6,26.4,18.3
Hawaii,191909,255912,368336,423330,499794,632772,768561,964691,1108229,1211537,1360301,24.6,33.4,43.9,14.9,18.1,26.6,21.5,25.5,14.9,9.3,12.3
Idaho,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1567582,101.3,32.6,3,17.9,12.1,13.3,6.8,32.5,6.7,28.5,21.1
Illinois,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,16.9,15,17.7,3.5,10.3,15.7,10.2,2.8,0,8.6,3.3
Indiana,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802,7.3,8.5,10.5,5.8,14.8,18.5,11.4,5.7,1,9.7,6.6
Iowa,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355,-0.3,8.1,2.8,2.7,3.3,5.2,2.4,3.2,-4.7,5.4,4.1
Kansas,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118,15,4.6,6.3,-4.3,5.8,14.3,3.1,5.2,4.8,8.5,6.1
Kentucky,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367,6.6,5.5,8.2,8.8,3.5,3.2,5.9,13.7,0.7,9.7,7.4
Louisiana,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372,19.9,8.6,16.9,12.5,13.5,21.4,11.8,15.5,0.3,5.9,1.4
Maine,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361,6.9,3.5,3.8,6.2,7.9,6.1,2.4,13.4,9.2,3.8,4.2
Maryland,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552,9,11.9,12.5,11.6,28.6,32.3,26.5,7.5,13.4,10.8,9
Massachusetts,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629,20,14.4,10.3,1.6,8.7,9.8,10.5,0.8,4.9,5.5,3.1
Michigan,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640,16.1,30.5,32,8.5,21.2,22.8,13.4,4.4,0.4,6.9,-0.6
Minnesota,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925,18.5,15,7.4,8.9,6.8,14.5,11.5,7.1,7.3,12.4,7.8
Mississippi,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2967297,15.8,-0.4,12.2,8.7,-0.2,0,1.8,13.7,2.1,10.5,4.3
Missouri,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5988927,6,3.4,6.6,4.3,4.5,9.2,8.3,5.1,4.1,9.3,7
Montana,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,989415,54.5,46,-2.1,4.1,5.6,14.2,2.9,13.3,1.6,12.9,9.7
Nebraska,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1826341,11.8,8.7,6.3,-4.5,0.7,6.5,5.1,5.8,0.5,8.4,6.7
Nevada,81875,77407,91058,110247,160083,285278,488738,800493,1201833,1998257,2700551,93.4,-5.5,17.6,21.1,45.2,78.2,71.3,63.8,50.1,66.3,35.1
New Hampshire,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470,4.6,2.9,5,5.6,8.5,13.8,21.5,24.8,20.5,11.4,6.5
New Jersey,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8791894,34.7,24.4,28.1,2.9,16.2,25.5,18.2,2.7,5,8.9,4.5
New Mexico,327301,360350,423317,531818,681187,951023,1016000,1302894,1515069,1819046,2059179,67.6,10.1,17.5,25.6,28.1,39.6,6.8,28.2,16.3,20.1,13.2
New York,9113614,10385227,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19378102,25.4,14,21.2,7.1,10,13.2,8.7,-3.7,2.5,5.5,2.1
North Carolina,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9535483,16.5,16,23.9,12.7,13.7,12.2,11.5,15.7,12.7,21.4,18.5
North Dakota,577056,646872,680845,641935,619636,632446,617761,652717,638800,642200,672591,80.8,12.1,5.3,-5.7,-3.5,2.1,-2.3,5.7,-2.1,0.5,4.7
Ohio,4767121,5759394,6646697,6907612,7946627,9706397,10652017,10797630,10847115,11353140,11536504,14.7,20.8,15.4,3.9,15,22.1,9.7,1.4,0.5,4.7,1.6
Oklahoma,1657155,2028283,2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3751351,109.7,22.4,18.1,-2.5,-4.4,4.3,9.9,18.2,4,9.7,8.7
Oregon,672765,783389,953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3831074,62.7,16.4,21.8,14.2,39.6,16.3,18.2,25.9,7.9,20.4,12
Pennsylvania,7665111,8720017,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12702379,21.6,13.8,10.5,2.8,6,7.8,4.2,0.6,0.1,3.4,3.4
Rhode Island,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1052567,26.6,11.4,13.7,3.8,11,8.5,10.1,0,5.9,4.5,0.4
South Carolina,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4625364,13.1,11.1,3.3,9.3,11.4,12.5,8.7,20.5,11.7,15.1,15.3
South Dakota,583888,636547,692849,642961,652740,680514,665507,690768,696004,754844,814180,45.4,9,8.8,-7.2,1.5,4.3,-2.2,3.8,0.8,8.5,7.9
Tennessee,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,6346105,8.1,7,11.9,11.4,12.9,8.4,10,17,6.2,16.7,11.5
Texas,3896542,4663228,5824715,6414824,7711194,9579677,11196730,14229191,16986510,20851820,25145561,27.8,19.7,24.9,10.1,20.2,24.2,16.9,27.1,19.4,22.8,20.6
Utah,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885,34.9,20.4,13,8.4,25.2,29.3,18.9,37.9,17.9,29.6,23.8
Vermont,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,625741,3.6,-1,2,-0.1,5.2,3.2,14,15.1,10,8.2,2.8
Virginia,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,8001024,11.2,12,4.9,10.6,23.9,19.5,17.2,15,15.7,14.4,13
Washington,1141990,1356621,1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6724540,120.4,18.8,15.2,11.1,37,19.9,19.5,21.2,17.8,21.1,14.1
West Virginia,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1852994,27.4,19.9,18.1,10,5.4,-7.2,-6.2,11.8,-8,0.8,2.5
Wisconsin,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5686986,12.8,12.8,11.7,6.8,9.5,15.1,11.8,6.5,4,9.6,6
Wyoming,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626,57.7,33.2,16,11.2,15.9,13.6,0.7,41.3,-3.4,8.9,14.1
Puerto Rico,1118012,1299809,1543913,1869255,2210703,2349544,2712033,3196520,3522037,3808610,3725789,17.3,16.3,18.8,21.1,18.3,6.3,15.4,17.9,10.2,8.1,-2.2
